name,root,pos,modification
SumBitum,SumB,infinitive,
SumBya,SumB,gerund,
SuSrUzitum,Sru,infinitive,desid
SuSrUzya,Sru,gerund,desid
Suzya,Suz,gerund,
SUya,SU,gerund,
Setum,SI#1,infinitive,
Sezayitum,Siz,infinitive,caus
Sezitum,Siz,infinitive,caus
Sezwum,Siz,infinitive,
Sezya,Siz,gerund,caus
Soktum,Suc#1,infinitive,
Socayitum,Suc#1,infinitive,caus
Socitum,Suc#1,infinitive,
Socya,Suc#1,gerund,caus
SodDum,SuD,infinitive,
SoDayitum,SuD,infinitive,caus
SoDya,SuD,gerund,caus
SoBayitum,SuB#1,infinitive,caus
SoBitum,SuB#1,infinitive,
SoBya,SuB#1,gerund,caus
Sozayitum,Suz,infinitive,caus
Sozwum,Suz,infinitive,
Sozya,Suz,gerund,caus
SyAtum,SyA,infinitive,
SyAmAyitum,SyAma,infinitive,
SyAmya,SyAma,gerund,
Syenayitum,Syena,infinitive,
SyenAyitum,Syena,infinitive,
Syenya,Syena,gerund,
SraBya,SramB,gerund,
Sramitum,Sram,infinitive,
SramBitum,SramB,infinitive,
Sramya,Sram,gerund,
Srayitum,Sri,infinitive,
SrAmayitum,Sram,infinitive,caus
SrAmya,Sram,gerund,caus
SrAvam,Sru,gerund,
SrAvayitum,Sru,infinitive,caus
SrAvya,Sru,gerund,caus
Sritya,Sri,gerund,
Srutya,Sru,gerund,
Srotum,Sru,infinitive,
SlAGitum,SlAG,infinitive,
SlAGya,SlAG,gerund,
Slizya,Sliz,gerund,
Slezayitum,Sliz,infinitive,caus
Slezwum,Sliz,infinitive,
Slezya,Sliz,gerund,caus
Svasitum,Svas#1,infinitive,
Svasya,Svas#1,gerund,
Svitya,Svit,gerund,
Svetitum,Svit,infinitive,
zaRQayitum,zaRQa,infinitive,
zaRQya,zaRQa,gerund,
zWIvitum,zWIv,infinitive,
zWIvya,zWIv,gerund,
saktum,saYj,infinitive,
saKIyitum,saKi,infinitive,
saKya,saKi,gerund,
saNkawAyitum,saNkawa,infinitive,
saNkawya,saNkawa,gerund,
saNgrAmayitum,saNgrAma,infinitive,
saNgrAmya,saNgrAma,gerund,
sacitum,sac,infinitive,
sacya,sac,gerund,
sajjayitum,saYj,infinitive,caus
sajjIyitum,sajja,infinitive,
sajjya,sajja,gerund,
sajjya,saYj,gerund,caus
sajya,saYj,gerund,
sattum,sad#1,infinitive,
sadya,sad#1,gerund,
sanitum,san#1,infinitive,
sapiRqayitum,sapiRqa,infinitive,
sapiRqya,sapiRqa,gerund,
sapitum,sap#1,infinitive,
sapya,sap#1,gerund,
sarjayitum,sfj#1,infinitive,caus
sarjya,sfj#1,gerund,caus
sartum,sf,infinitive,
sarpayitum,sfp,infinitive,caus
sarptum,sfp,infinitive,
sarpya,sfp,gerund,caus
savitum,su#2,infinitive,
savitum,sU#1,infinitive,
sahitum,sah#1,infinitive,
sahya,sah#1,gerund,
sAQum,sah#1,infinitive,
sAtum,sA#1,infinitive,
sAdayitum,sad#1,infinitive,caus
sAdayitum,svad,infinitive,caus
sAdya,sad#1,gerund,caus
sAdya,svad,gerund,caus
sADayitum,siD#1,infinitive,caus
sADya,siD#1,gerund,caus
sAnayitum,san#1,infinitive,caus
sAntvayitum,sAntva,infinitive,
sAntvya,sAntva,gerund,
sAnya,san#1,gerund,caus
sApayitum,sap#1,infinitive,caus
sApya,sap#1,gerund,caus
sAya,sA#1,gerund,
sAya,san#1,gerund,
sAram,sf,gerund,
sArayitum,sf,infinitive,caus
sArya,sf,gerund,caus
sAvaDAnayitum,sAvaDAna,infinitive,
sAvaDAnya,sAvaDAna,gerund,
sicya,sic,gerund,
siDya,siD#1,gerund,
siDya,siD#2,gerund,
sisAnayizitum,san#1,infinitive,desid
sisAnayizya,san#1,gerund,desid
sisfkzitum,sfj#1,infinitive,desid
sisfkzya,sfj#1,gerund,desid
sismayizitum,smi,infinitive,desid
sismayizya,smi,gerund,desid
sIditum,sad#1,infinitive,
sIvayitum,sIv,infinitive,caus
sIvitum,sIv,infinitive,
sIvya,sIv,gerund,caus
suKAyitum,suKa,infinitive,
suKya,suKa,gerund,
suKyitum,suKa,infinitive,
sutya,su#2,gerund,
sudinAyitum,sudina,infinitive,
sudinya,sudina,gerund,
supya,svap,gerund,
sumanaya,sumanas,gerund,
sumanAyitum,sumanas,infinitive,
suya,sU#1,gerund,
surya,sur,gerund,
susyUzitum,sIv,infinitive,desid
susyUzya,sIv,gerund,desid
sUcayitum,sUc,infinitive,
sUcya,sUc,gerund,
sUdayitum,sUd,infinitive,
sUdya,sUd,gerund,
sUya,sU#1,gerund,
sfjya,sfj#1,gerund,
sftya,sf,gerund,
sfpas,sfp,infinitive,
sfpya,sfp,gerund,
sektum,sic,infinitive,
secayitum,sic,infinitive,caus
secya,sic,gerund,caus
setum,sA#1,infinitive,
sedDum,siD#1,infinitive,
sedDum,siD#2,infinitive,
seDitum,siD#2,infinitive,
sevayitum,sIv,infinitive,caus
sevitum,sev,infinitive,
sevya,sev,gerund,
sevya,sIv,gerund,caus
sotum,su#2,infinitive,
sotum,sU#1,infinitive,
soritum,sur,infinitive,
sohya,sah#1,gerund,
skadya,skand,gerund,
skanttum,skand,infinitive,
skandayitum,skand,infinitive,caus
skanditum,skand,infinitive,
skandya,skand,gerund,
skamBitum,skamB,infinitive,
skamBya,skamB,gerund,
sKalayitum,sKal,infinitive,caus
sKalitum,sKal,infinitive,
sKalya,sKal,gerund,
sKAlayitum,sKal,infinitive,caus
sKAlya,sKal,gerund,caus
stanitum,stan,infinitive,
stanya,stan,gerund,
staBya,stamB,gerund,
stamBayitum,stamB,infinitive,caus
stamBitum,stamB,infinitive,
stamBya,stamB,gerund,caus
staritum,stF,infinitive,
starItum,stF,infinitive,
stavitum,stu,infinitive,
stAvayitum,stu,infinitive,caus
stAvya,stu,gerund,caus
stIrya,stF,gerund,
stutya,stu,gerund,
stuBya,stuB,gerund,
stfya,stF,gerund,
stenayitum,stena,infinitive,
stenya,stena,gerund,
stotum,stu,infinitive,
stoBitum,stuB,infinitive,
styAtum,styA,infinitive,
styAya,styA,gerund,
sTagayitum,sTaga,infinitive,
sTagya,sTaga,gerund,
sTAtum,sTA#1,infinitive,
sTApayitum,sTA#1,infinitive,caus
sTApya,sTA#1,gerund,caus
sTAya,sTA#1,gerund,
snavitum,snu,infinitive,
snAtum,snA,infinitive,
snAya,snA,gerund,
snihya,snih#1,gerund,
snutya,snu,gerund,
snuhya,snuh#1,gerund,
snegDum,snih#1,infinitive,
snehayitum,snih#1,infinitive,caus
snehitum,snih#1,infinitive,
snehya,snih#1,gerund,caus
snogDum,snuh#1,infinitive,
snohitum,snuh#1,infinitive,
spandayitum,spand,infinitive,caus
spanditum,spand,infinitive,
spandya,spand,gerund,
sparDitum,sparD,infinitive,
sparDya,sparD,gerund,
sparzwum,spfS#1,infinitive,
spASayitum,spaS#1,infinitive,caus
spASya,spaS#1,gerund,caus
spfSya,spfS#1,gerund,
spfhayitum,spfh,infinitive,
spfhayya,spfh,gerund,
sPalitum,sPal,infinitive,
sPalya,sPal,gerund,
sPAtum,sPA,infinitive,
sPIya,sPA,gerund,
sPuwitum,sPuw,infinitive,
sPuwya,sPuw,gerund,
sPurya,sPur,gerund,
sPoritum,sPur,infinitive,
smartum,smf,infinitive,
smAyayitum,smi,infinitive,caus
smAyya,smi,gerund,caus
smArayitum,smf,infinitive,caus
smArya,smf,gerund,caus
smitya,smi,gerund,
smftya,smf,gerund,
smetum,smi,infinitive,
syadya,syand,gerund,
syanttum,syand,infinitive,
syanditum,syand,infinitive,
syandya,syand,gerund,
syUya,sIv,gerund,
sraMsitum,sraMs,infinitive,
sraMsya,sraMs,gerund,
srazwum,sfj#1,infinitive,
srAvayitum,sru,infinitive,caus
srAvya,sru,gerund,caus
srutya,sru,gerund,
srotum,sru,infinitive,
svaktum,svaYj,infinitive,
svajya,svaYj,gerund,
svaYjayitum,svaYj,infinitive,caus
svaYjya,svaYj,gerund,caus
svaditum,svad,infinitive,
svadya,svad,gerund,
svanayitum,svan,infinitive,caus
svanitum,svan,infinitive,
svanya,svan,gerund,
svapitum,svap,infinitive,
svaptum,svap,infinitive,
svaritum,svar#1,infinitive,
svaritum,svar#2,infinitive,
svarya,svar#1,gerund,
svarya,svar#2,gerund,
svalpaSilAyitum,svalpaSilA,infinitive,
svalpaSilya,svalpaSilA,gerund,
svAdayitum,svad,infinitive,caus
svAdya,svad,gerund,caus
svidya,svid#2,gerund,
svettum,svid#2,infinitive,
svedayitum,svid#2,infinitive,caus
svedya,svid#2,gerund,caus
haWitum,haW,infinitive,
haWya,haW,gerund,
hattum,had,infinitive,
hatya,han#1,gerund,
hadya,had,gerund,
hantum,han#1,infinitive,
hanya,han#1,gerund,
hartum,hf#1,infinitive,
hartum,hf#2,infinitive,
harzayitum,hfz,infinitive,caus
harzitum,hfz,infinitive,
harzya,hfz,gerund,caus
hasitum,has,infinitive,
hasya,has,gerund,
hAtum,hA#1,infinitive,
hAya,hA#1,gerund,
hAya,hA#2,gerund,
hArayitum,hf#1,infinitive,caus
hArya,hf#1,gerund,caus
hAsayitum,has,infinitive,caus
hAsya,has,gerund,caus
hiMzya,hiMs,gerund,
hiMsitum,hiMs,infinitive,
hikkitum,hikk,infinitive,
hikkya,hikk,gerund,
hitya,hi#2,gerund,
hIya,hA#1,gerund,
huRqitum,huRq,infinitive,
huRqya,huRq,gerund,
hutya,hu,gerund,
hUya,hU,gerund,
hftya,hf#1,gerund,
hfzya,hfz,gerund,
hetum,hi#2,infinitive,
hotum,hu,infinitive,
hnUtya,hnu,gerund,
hnotum,hnu,infinitive,
hrasitum,hras,infinitive,
hrasya,hras,gerund,
hrAdayitum,hrAd,infinitive,caus
hrAditum,hrAd,infinitive,
hrAdya,hrAd,gerund,
hrAsayitum,hras,infinitive,caus
hrAsya,hras,gerund,caus
hrIya,hrI#1,gerund,
hretum,hrI#1,infinitive,
hrepayitum,hrI#1,infinitive,caus
hrepya,hrI#1,gerund,caus
hlAdayitum,hlAd,infinitive,caus
hlAditum,hlAd,infinitive,
hlAdya,hlAd,gerund,
hvayitum,hU,infinitive,
hvalitum,hval,infinitive,
hvalya,hval,gerund,
hvAtum,hU,infinitive,
hvAyayitum,hU,infinitive,caus
hvAyya,hU,gerund,caus
