stem,root,class,mode,voice,modification
aMSanIya,aMS,,fut,pass,
aMSayat,aMS,10,pres,para,
aMSayamAna,aMS,10,pres,atma,
aMSayitavya,aMS,,fut,pass,
aMSayizyat,aMS,,fut,para,
aMSayizyamAna,aMS,,fut,atma,
aMSitavat,aMS,,past,active,
aMSita,aMS,,past,pass,
aMSyamAna,aMS,,pres,pass,
aMSya,aMS,,fut,pass,
aktavat,aj,,past,active,
aktavat,aYc,,past,active,
aktavat,aYj,,past,active,
aktavya,aj,,fut,pass,
akta,aj,,past,pass,
akta,aYc,,past,pass,
akta,aYj,,past,pass,
aknavat,aYc,,past,active,
akna,aYc,,past,pass,
akzaRIya,akz,,fut,pass,
akzat,akz,1,pres,para,
akzamAna,akz,1,pres,atma,
akzitavya,akz,,fut,pass,
akzizyat,akz,,fut,para,
akzizyamAna,akz,,fut,atma,
akzyat,akz,,fut,para,
akzyat,aj,,fut,para,
akzyat,aS#1,,fut,para,
akzyat,aS#2,,fut,para,
akzyamAna,akz,,fut,atma,
akzyamAna,akz,,pres,pass,
akzyamAna,aj,,fut,atma,
akzyamAna,aS#1,,fut,atma,
akzyamAna,aS#2,,fut,atma,
akzya,akz,,fut,pass,
aGatavat,aGa#2,,past,active,
aGata,aGa#2,,past,pass,
aGaya,aGa#2,,fut,pass,
aGAnIya,aGa#2,,fut,pass,
aGAyat,aGa#2,10,pres,para,
aGAyamAna,aGa#2,10,pres,atma,
aGAyamAna,aGa#2,,pres,pass,
aGAyitavya,aGa#2,,fut,pass,
aGAyizyat,aGa#2,,fut,para,
aGAyizyamAna,aGa#2,,fut,atma,
aNkanIya,aNk,,fut,pass,
aNkayat,aNk,10,pres,para,
aNkayamAna,aNk,10,pres,atma,
aNkayitavya,aNk,,fut,pass,
aNkayizyat,aNk,,fut,para,
aNkayizyamAna,aNk,,fut,atma,
aNkitavat,aNk,,past,active,
aNkita,aNk,,past,pass,
aNktavya,aYc,,fut,pass,
aNktavya,aYj,,fut,pass,
aNkyamAna,aNk,,pres,pass,
aNkya,aNk,,fut,pass,
aNkzyat,aNg,,fut,para,
aNkzyat,aYc,,fut,para,
aNkzyat,aYj,,fut,para,
aNkzyamAna,aNg,,fut,atma,
aNkzyamAna,aYc,,fut,atma,
aNkzyamAna,aYj,,fut,atma,
aNKanIya,aNK,,fut,pass,
aNKayat,aNK,10,pres,para,
aNKayamAna,aNK,10,pres,atma,
aNKayitavya,aNK,,fut,pass,
aNKayizyat,aNK,,fut,para,
aNKayizyamAna,aNK,,fut,atma,
aNKitavat,aNK,,past,active,
aNKita,aNK,,past,pass,
aNKyamAna,aNK,,pres,pass,
aNKya,aNK,,fut,pass,
aNgat,aNg,1,pres,para,
aNganIya,aNg,,fut,pass,
aNgamAna,aNg,1,pres,atma,
aNgitavat,aNg,,past,active,
aNgita,aNg,,past,pass,
aNgtavya,aNg,,fut,pass,
aNgyamAna,aNg,,pres,pass,
aNgya,aNg,,fut,pass,
acat,aYc,1,pres,para,
acamAna,aYc,1,pres,atma,
acyamAna,aYc,,pres,pass,
ajat,aj,1,pres,para,
ajanIya,aj,,fut,pass,
ajamAna,aj,1,pres,atma,
ajiratavat,ajira#2,,past,active,
ajirata,ajira#2,,past,pass,
ajiraya,ajira#2,,fut,pass,
ajirARIya,ajira#2,,fut,pass,
ajirAyat,ajira#2,10,pres,para,
ajirAyamAna,ajira#2,10,pres,atma,
ajirAyamAna,ajira#2,,pres,pass,
ajirAyitavya,ajira#2,,fut,pass,
ajirAyizyat,ajira#2,,fut,para,
ajirAyizyamAna,ajira#2,,fut,atma,
ajyamAna,aj,,pres,pass,
ajyamAna,aYj,,pres,pass,
ajya,aj,,fut,pass,
aYcat,aYc,1,pres,para,
aYcanIya,aYc,,fut,pass,
aYcanIya,aYc,,fut,pass,caus
aYcamAna,aYc,1,pres,atma,
aYcayat,aYc,,pres,para,caus
aYcayamAna,aYc,,pres,atma,caus
aYcayitavya,aYc,,fut,pass,caus
aYcayizyat,aYc,,fut,para,caus
aYcayizyamAna,aYc,,fut,atma,
aYcayizyamAna,aYc,,fut,atma,caus
aYcitavat,aYc,,past,active,
aYcitavat,aYc,,past,active,caus
aYcita,aYc,,past,pass,
aYcita,aYc,,past,pass,caus
aYcyamAna,aYc,,pres,pass,caus
aYcya,aYc,,fut,pass,
aYcya,aYc,,fut,pass,caus
aYjat,aYj,7,pres,para,
aYjanIya,aYj,,fut,pass,
aYjanIya,aYj,,fut,pass,caus
aYjayat,aYj,,pres,para,caus
aYjayamAna,aYj,,pres,atma,caus
aYjayitavya,aYj,,fut,pass,caus
aYjayizyat,aYj,,fut,para,caus
aYjayizyamAna,aYj,,fut,atma,
aYjayizyamAna,aYj,,fut,atma,caus
aYjAna,aYj,7,pres,atma,
aYjitavat,aYj,,past,active,caus
aYjita,aYj,,past,pass,caus
aYjyamAna,aYj,,pres,pass,caus
aYjya,aYj,,fut,pass,
aYjya,aYj,,fut,pass,caus
awat,aw,1,pres,para,
awanIya,aw,,fut,pass,
awamAna,aw,1,pres,atma,
awitavat,aw,,past,active,
awita,aw,,past,pass,
awwavya,aw,,fut,pass,
awyamAna,aw,,pres,pass,
awya,aw,,fut,pass,
awsyat,aw,,fut,para,
awsyamAna,aw,,fut,atma,
atat,at,1,pres,para,
atanIya,at,,fut,pass,
atamAna,at,1,pres,atma,
atitavat,at,,past,active,
atita,at,,past,pass,
attavat,ad#1,,past,active,
attavya,at,,fut,pass,
attavya,ad#1,,fut,pass,
atta,ad#1,,past,pass,
atyamAna,at,,pres,pass,
atya,at,,fut,pass,
atsyat,at,,fut,para,
atsyat,ad#1,,fut,para,
atsyamAna,at,,fut,atma,
atsyamAna,ad#1,,fut,atma,
adat,ad#1,2,pres,para,
adanIya,ad#1,,fut,pass,
adAna,ad#1,2,pres,atma,
adyamAna,ad#1,,pres,pass,
adya,ad#1,,fut,pass,
aDvaraRIya,aDvar,,fut,pass,
aDvartavat,aDvar,,past,active,
aDvarta,aDvar,,past,pass,
aDvaryat,aDvar,10,pres,para,
aDvaryamAna,aDvar,10,pres,atma,
aDvarya,aDvar,,fut,pass,
aDvaryitavya,aDvar,,fut,pass,
aDvaryizyat,aDvar,,fut,para,
aDvaryizyamAna,aDvar,,fut,atma,
anaMSAna,aMS,,perf,atma,
anaMSvAn,aMS,,perf,para,
anaGavAn,aGa#2,,perf,para,
anaGAna,aGa#2,,perf,atma,
anaNkAna,aNk,,perf,atma,
anaNkvAn,aNk,,perf,para,
anaNKAna,aNK,,perf,atma,
anaNKvAn,aNK,,perf,para,
anaNgAna,aNg,,perf,atma,
anaNgvAn,aNg,,perf,para,
anajiravAn,ajira#2,,perf,para,
anajirARa,ajira#2,,perf,atma,
anaDvarARa,aDvar,,perf,atma,
anaDvarvAn,aDvar,,perf,para,
anat,an#2,2,pres,para,
ananinizvAn,an#2,,perf,para,desid
anamitrARa,amitr,,perf,atma,
anamitrvAn,amitr,,perf,para,
anarcicizvAn,fc#1,,perf,para,desid
anarTAna,arT,,perf,atma,
anarTvAn,arT,,perf,para,
anardAna,ard,,perf,atma,
anardvAn,ard,,perf,para,
anarhARa,arh,,perf,atma,
anarhvAn,arh,,perf,para,
anaSanAna,aSan,,perf,atma,
anaSanvAn,aSan,,perf,para,
anasUvAn,asU,,perf,para,
anasvAna,asU,,perf,atma,
anAna,an#2,2,pres,atma,
anitavat,an#2,,past,active,
anita,an#2,,past,pass,
aninizaRIya,an#2,,fut,pass,desid
aninizat,an#2,,pres,para,desid
aninizitavat,an#2,,past,active,desid
aninizita,an#2,,past,pass,desid
anizyat,an#2,,fut,para,
anizyamAna,an#2,,fut,atma,
amat,am,2,pres,para,
amat,am,1,pres,para,
amamAna,am,1,pres,atma,
amAna,am,2,pres,atma,
amitavat,am,,past,active,
amita,am,,past,pass,
amitrayat,amitr,10,pres,para,
amitrayamAna,amitr,10,pres,atma,
amitrayitavya,amitr,,fut,pass,
amitrayizyat,amitr,,fut,para,
amitrayizyamAna,amitr,,fut,atma,
amitritavat,amitr,,past,active,
amitrita,amitr,,past,pass,
amitryamAna,amitr,,pres,pass,
amItavya,am,,fut,pass,
amIzyat,am,,fut,para,
amIzyamAna,am,,fut,atma,
ametraRIya,amitr,,fut,pass,
ametrya,amitr,,fut,pass,
amyanIya,am,,fut,pass,
amyamAna,am,,pres,pass,
amya,am,,fut,pass,
ayat,i,1,pres,para,
ayanIya,i,,fut,pass,
ayamAna,i,1,pres,atma,
araRIya,f,,fut,pass,
arARa,f,,perf,atma,
arivAn,f,,perf,para,
arizyat,f,,fut,para,
arizyamAna,f,,fut,atma,
arkzyat,arh,,fut,para,
arkzyat,fz,,fut,para,
arkzyamAna,arh,,fut,atma,
arkzyamAna,fz,,fut,atma,
arcat,fc#1,1,pres,para,
arcanIya,fc#1,,fut,pass,
arcanIya,fc#1,,fut,pass,caus
arcamAna,fc#1,1,pres,atma,
arcayat,fc#1,,pres,para,caus
arcayamAna,fc#1,,pres,atma,caus
arcayitavya,fc#1,,fut,pass,caus
arcayizyat,fc#1,,fut,para,caus
arcayizyamAna,fc#1,,fut,atma,
arcayizyamAna,fc#1,,fut,atma,caus
arcicizaRIya,fc#1,,fut,pass,desid
arcicizat,fc#1,,pres,para,desid
arcicizitavat,fc#1,,past,active,desid
arcicizita,fc#1,,past,pass,desid
arcitavat,fc#1,,past,active,
arcitavat,fc#1,,past,active,caus
arcitavya,fc#1,,fut,pass,
arcita,fc#1,,past,pass,
arcita,fc#1,,past,pass,caus
arcizyat,fc#1,,fut,para,
arcizyamAna,fc#1,,fut,atma,
arcyamAna,fc#1,,pres,pass,caus
arcya,fc#1,,fut,pass,caus
arjat,fj,1,pres,para,
arjanIya,fj,,fut,pass,caus
arjanIya,fj,,fut,pass,
arjamAna,fj,1,pres,atma,
arjayat,fj,,pres,para,caus
arjayamAna,fj,,pres,atma,caus
arjayitavya,fj,,fut,pass,caus
arjayizyat,fj,,fut,para,caus
arjayizyamAna,fj,,fut,atma,
arjayizyamAna,fj,,fut,atma,caus
arjitavat,fj,,past,active,caus
arjitavat,fj,,past,active,
arjitavya,fj,,fut,pass,
arjita,fj,,past,pass,caus
arjita,fj,,past,pass,
arjizyat,fj,,fut,para,
arjizyamAna,fj,,fut,atma,
arjyamAna,fj,,pres,pass,caus
arjya,fj,,fut,pass,caus
arQavya,arh,,fut,pass,
artavya,f,,fut,pass,
arttavya,ard,,fut,pass,
artsyat,ard,,fut,para,
artsyamAna,ard,,fut,atma,
arTanIya,arT,,fut,pass,
arTayat,arT,10,pres,para,
arTayamAna,arT,10,pres,atma,
arTayitavya,arT,,fut,pass,
arTayizyat,arT,,fut,para,
arTayizyamAna,arT,,fut,atma,
arTitavat,arT,,past,active,
arTita,arT,,past,pass,
arTyamAna,arT,,pres,pass,
arTya,arT,,fut,pass,
ardat,ard,1,pres,para,
ardanIya,ard,,fut,pass,
ardamAna,ard,1,pres,atma,
arditavat,ard,,past,active,
ardita,ard,,past,pass,
ardyamAna,ard,,pres,pass,
ardya,ard,,fut,pass,
arDanIya,fD,,fut,pass,
arDanIya,fD,,fut,pass,caus
arDayat,fD,,pres,para,caus
arDayamAna,fD,,pres,atma,caus
arDayitavya,fD,,fut,pass,caus
arDayizyat,fD,,fut,para,caus
arDayizyamAna,fD,,fut,atma,
arDayizyamAna,fD,,fut,atma,caus
arDitavat,fD,,past,active,caus
arDitavya,fD,,fut,pass,
arDita,fD,,past,pass,caus
arDizyat,fD,,fut,para,
arDizyamAna,fD,,fut,atma,
arDyamAna,fD,,pres,pass,caus
arDya,fD,,fut,pass,caus
arpaRIya,f,,fut,pass,caus
arpayat,f,,pres,para,caus
arpayamAna,f,,pres,atma,caus
arpayitavya,f,,fut,pass,caus
arpayizyat,f,,fut,para,caus
arpayizyamAna,f,,fut,atma,
arpayizyamAna,f,,fut,atma,caus
arpitavat,f,,past,active,caus
arpita,f,,past,pass,caus
arpyamAna,f,,pres,pass,caus
arpya,f,,fut,pass,caus
aryamAna,f,,pres,pass,
arzaRIya,fz,,fut,pass,
arzat,fz,1,pres,para,
arzamAna,fz,1,pres,atma,
arzwavya,fz,,fut,pass,
arhaRIya,arh,,fut,pass,
arhaRIya,arh,,fut,pass,caus
arhat,arh,1,pres,para,
arhamAna,arh,1,pres,atma,
arhayat,arh,,pres,para,caus
arhayamAna,arh,,pres,atma,caus
arhayitavya,arh,,fut,pass,caus
arhayizyat,arh,,fut,para,caus
arhayizyamAna,arh,,fut,atma,
arhayizyamAna,arh,,fut,atma,caus
arhitavat,arh,,past,active,
arhitavat,arh,,past,active,caus
arhita,arh,,past,pass,
arhita,arh,,past,pass,caus
arhyamAna,arh,,pres,pass,
arhyamAna,arh,,pres,pass,caus
arhya,arh,,fut,pass,
arhya,arh,,fut,pass,caus
avat,av,1,pres,para,
avanIya,av,,fut,pass,
avamAna,av,1,pres,atma,
avitavat,av,,past,active,
avitavya,av,,fut,pass,
avita,av,,past,pass,
avizyat,av,,fut,para,
avizyamAna,av,,fut,atma,
avyamAna,av,,pres,pass,
avya,av,,fut,pass,
aSananIya,aSan,,fut,pass,
aSanayizyat,aSan,,fut,para,
aSanayizyamAna,aSan,,fut,atma,
aSanAyat,aSan,10,pres,para,
aSanAyamAna,aSan,10,pres,atma,
aSanAyitavya,aSan,,fut,pass,
aSanIya,aS#1,,fut,pass,
aSanIya,aS#2,,fut,pass,
aSantavat,aSan,,past,active,
aSanta,aSan,,past,pass,
aSanyamAna,aSan,,pres,pass,
aSanya,aSan,,fut,pass,
aSitavat,aS#2,,past,active,
aSita,aS#2,,past,pass,
aSnat,aS#2,9,pres,para,
aSnAna,aS#2,9,pres,atma,
aSnuvat,aS#1,5,pres,para,
aSnvAna,aS#1,5,pres,atma,
aSyamAna,aS#1,,pres,pass,
aSyamAna,aS#2,,pres,pass,
aSya,aS#1,,fut,pass,
aSya,aS#2,,fut,pass,
azwavat,aS#1,,past,active,
azwavya,akz,,fut,pass,
azwavya,aS#1,,fut,pass,
azwavya,aS#2,,fut,pass,
azwa,aS#1,,past,pass,
asat,as#2,1,pres,para,
asanIya,as#2,,fut,pass,
asamAna,as#2,1,pres,atma,
asavanIya,asU,,fut,pass,
asitavya,as#2,,fut,pass,
asizyat,as#2,,fut,para,
asizyamAna,as#2,,fut,atma,
asUtavat,asU,,past,active,
asUta,asU,,past,pass,
asUyat,asU,10,pres,para,
asUyamAna,asU,10,pres,atma,
asUyitavya,asU,,fut,pass,
asUyizyat,asU,,fut,para,
asUyizyamAna,asU,,fut,atma,
asoya,asU,,fut,pass,
astavat,as#2,,past,active,
asta,as#2,,past,pass,
asyat,as#2,4,pres,para,
asyamAna,as#2,4,pres,atma,
asyamAna,as#2,,pres,pass,
asya,as#2,,fut,pass,
Akulayat,Akul,10,pres,para,
AkulayamAna,Akul,10,pres,atma,
Akulayitavya,Akul,,fut,pass,
Akulayizyat,Akul,,fut,para,
AkulayizyamAna,Akul,,fut,atma,
AkulAna,Akul,,perf,atma,
Akulitavat,Akul,,past,active,
Akulita,Akul,,past,pass,
AkulyamAna,Akul,,pres,pass,
AkulvAn,Akul,,perf,para,
AkolanIya,Akul,,fut,pass,
Akolya,Akul,,fut,pass,
AjAna,aj,,perf,atma,
AjivAn,aj,,perf,para,
AwAna,aw,,perf,atma,
AwivAn,aw,,perf,para,
AtAna,at,,perf,atma,
AtivAn,at,,perf,para,
AdanIya,ad#1,,fut,pass,caus
Adayat,ad#1,,pres,para,caus
AdayamAna,ad#1,,pres,atma,caus
Adayitavya,ad#1,,fut,pass,caus
Adayizyat,ad#1,,fut,para,caus
AdayizyamAna,ad#1,,fut,atma,
AdayizyamAna,ad#1,,fut,atma,caus
AdAna,ad#1,,perf,atma,
Aditavat,ad#1,,past,active,caus
Adita,ad#1,,past,pass,caus
AdivAn,ad#1,,perf,para,
AdyamAna,ad#1,,pres,pass,caus
Adya,ad#1,,fut,pass,caus
AnakzARa,akz,,perf,atma,
AnakzvAn,akz,,perf,para,
AnaYcAna,aYc,,perf,atma,
AnaYcvAn,aYc,,perf,para,
AnaYjAna,aYj,,perf,atma,
AnaYjvAn,aYj,,perf,para,
AnanIya,an#2,,fut,pass,caus
Anayat,an#2,,pres,para,caus
AnayamAna,an#2,,pres,atma,caus
Anayizyat,an#2,,fut,para,caus
AnayizyamAna,an#2,,fut,atma,
AnayizyamAna,an#2,,fut,atma,caus
AnAna,an#2,,perf,atma,
Anitavat,an#2,,past,active,caus
Anitavat,am,,past,active,
Anita,an#2,,past,pass,caus
Anita,am,,past,pass,
AnivAn,an#2,,perf,para,
AnfcAna,fc#1,,perf,atma,
AnfcvAn,fc#1,,perf,para,
AnfDAna,fD,,perf,atma,
AnfDvAn,fD,,perf,para,
AnfzARa,fz,,perf,atma,
AnfzvAn,fz,,perf,para,
AnyamAna,an#2,,pres,pass,caus
Anya,an#2,,fut,pass,caus
ApanIya,Ap,,fut,pass,
ApanIya,Ap,,fut,pass,caus
Apayat,Ap,,pres,para,caus
ApayamAna,Ap,,pres,atma,caus
Apayitavya,Ap,,fut,pass,caus
Apayizyat,Ap,,fut,para,caus
ApayizyamAna,Ap,,fut,atma,
ApayizyamAna,Ap,,fut,atma,caus
ApAna,Ap,,perf,atma,
Apitavat,Ap,,past,active,caus
Apita,Ap,,past,pass,caus
ApivAn,Ap,,perf,para,
Aptavat,Ap,,past,active,
Aptavya,Ap,,fut,pass,
Apta,Ap,,past,pass,
Apnuvat,Ap,5,pres,para,
ApnvAna,Ap,5,pres,atma,
ApyamAna,Ap,,pres,pass,
ApyamAna,Ap,,pres,pass,caus
Apya,Ap,,fut,pass,
Apya,Ap,,fut,pass,caus
Apsyat,Ap,,fut,para,
ApsyamAna,Ap,,fut,atma,
AmanIya,am,,fut,pass,caus
Amayat,am,,pres,para,caus
AmayamAna,am,,pres,atma,caus
Amayitavya,am,,fut,pass,caus
Amayizyat,am,,fut,para,caus
AmayizyamAna,am,,fut,atma,
AmayizyamAna,am,,fut,atma,caus
AmAna,am,,perf,atma,
Amitavat,am,,past,active,caus
Amita,am,,past,pass,caus
AmivAn,am,,perf,para,
AmyamAna,am,,pres,pass,caus
Amya,am,,fut,pass,caus
Arya,f,,fut,pass,
AvanIya,av,,fut,pass,caus
Avayat,av,,pres,para,caus
AvayamAna,av,,pres,atma,caus
Avayitavya,av,,fut,pass,caus
Avayizyat,av,,fut,para,caus
AvayizyamAna,av,,fut,atma,
AvayizyamAna,av,,fut,atma,caus
AvAna,av,,perf,atma,
Avitavat,av,,past,active,caus
Avita,av,,past,pass,caus
Avilayat,Avil,10,pres,para,
AvilayamAna,Avil,10,pres,atma,
Avilayitavya,Avil,,fut,pass,
Avilayizyat,Avil,,fut,para,
AvilayizyamAna,Avil,,fut,atma,
AvilAna,Avil,,perf,atma,
Aviltavat,Avil,,past,active,
Avilta,Avil,,past,pass,
AvilyamAna,Avil,,pres,pass,
AvilvAn,Avil,,perf,para,
AvivAn,av,,perf,para,
AvelanIya,Avil,,fut,pass,
Avelya,Avil,,fut,pass,
AvyamAna,av,,pres,pass,caus
Avya,av,,fut,pass,caus
ASanIya,aS#2,,fut,pass,caus
ASayat,aS#2,,pres,para,caus
ASayamAna,aS#2,,pres,atma,caus
ASayitavya,aS#2,,fut,pass,caus
ASayizyat,aS#2,,fut,para,caus
ASayizyamAna,aS#2,,fut,atma,
ASayizyamAna,aS#2,,fut,atma,caus
ASAna,aS#1,,perf,atma,
ASAna,aS#2,,perf,atma,
ASitavat,aS#2,,past,active,caus
ASita,aS#2,,past,pass,caus
ASivAn,aS#1,,perf,para,
ASivAn,aS#2,,perf,para,
ASyamAna,aS#2,,pres,pass,caus
ASya,aS#2,,fut,pass,caus
AsanIya,As#2,,fut,pass,
AsanIya,As#2,,fut,pass,caus
AsanIya,as#2,,fut,pass,caus
Asayat,As#2,,pres,para,caus
Asayat,as#2,,pres,para,caus
AsayamAna,As#2,,pres,atma,caus
AsayamAna,as#2,,pres,atma,caus
Asayitavya,As#2,,fut,pass,caus
Asayitavya,as#2,,fut,pass,caus
Asayizyat,as#2,,fut,para,caus
AsayizyamAna,As#2,,fut,atma,
AsayizyamAna,As#2,,fut,atma,caus
AsayizyamAna,as#2,,fut,atma,
AsayizyamAna,as#2,,fut,atma,caus
AsAna,as#2,,perf,atma,
Asitavat,As#2,,past,active,
Asitavat,As#2,,past,active,caus
Asitavat,as#2,,past,active,caus
Asitavya,As#2,,fut,pass,
Asita,As#2,,past,pass,
Asita,As#2,,past,pass,caus
Asita,as#2,,past,pass,caus
AsivAn,as#1,,perf,para,
AsivAn,as#2,,perf,para,
AsizyamAna,As#2,,fut,atma,
AsIna,As#2,2,pres,atma,
AsIna,As#2,,perf,atma,
AsyamAna,As#2,,pres,pass,
AsyamAna,As#2,,pres,pass,caus
AsyamAna,as#2,,pres,pass,caus
Asya,As#2,,fut,pass,
Asya,As#2,,fut,pass,caus
Asya,as#2,,fut,pass,caus
iNgat,iNg,1,pres,para,
iNganIya,iNg,,fut,pass,caus
iNgamAna,iNg,1,pres,atma,
iNgayat,iNg,,pres,para,caus
iNgayamAna,iNg,,pres,atma,caus
iNgayitavya,iNg,,fut,pass,caus
iNgayizyat,iNg,,fut,para,caus
iNgayizyamAna,iNg,,fut,atma,
iNgayizyamAna,iNg,,fut,atma,caus
iNgitavat,iNg,,past,active,
iNgitavat,iNg,,past,active,caus
iNgita,iNg,,past,pass,
iNgita,iNg,,past,pass,caus
iNgyamAna,iNg,,pres,pass,
iNgyamAna,iNg,,pres,pass,caus
iNgya,iNg,,fut,pass,caus
icCat,iz#1,6,pres,para,
icCamAna,iz#1,6,pres,atma,
ijyamAna,yaj#1,,pres,pass,
itavat,i,,past,active,
ita,i,,past,pass,
itya,i,,fut,pass,
idDavat,inD,,past,active,
idDa,inD,,past,pass,
iDyamAna,inD,,pres,pass,
intavat,in,,past,active,
inta,in,,past,pass,
indat,ind,1,pres,para,
indamAna,ind,1,pres,atma,
inditavat,ind,,past,active,
indita,ind,,past,pass,
indyamAna,ind,,pres,pass,
inDAna,inD,7,pres,atma,
inDitavya,inD,,fut,pass,
inDizyamAna,inD,,fut,atma,
inyamAna,in,,pres,pass,
invat,inv,6,pres,para,
invat,in,5,pres,para,
invamAna,inv,6,pres,atma,
invAna,in,5,pres,atma,
invitavat,inv,,past,active,
invita,inv,,past,pass,
invyamAna,inv,,pres,pass,
iyrat,f,3,pres,para,
iyrARa,f,3,pres,atma,
irasanIya,iras#2,,fut,pass,
irastavat,iras#2,,past,active,
irasta,iras#2,,past,pass,
irasyat,iras#2,10,pres,para,
irasyamAna,iras#2,10,pres,atma,
irasya,iras#2,,fut,pass,
irasyitavya,iras#2,,fut,pass,
irasyizyat,iras#2,,fut,para,
irasyizyamAna,iras#2,,fut,atma,
ilat,il,6,pres,para,
ilanIya,il,,fut,pass,caus
ilamAna,il,6,pres,atma,
ilayat,il,,pres,para,caus
ilayamAna,il,,pres,atma,caus
ilayitavya,il,,fut,pass,caus
ilayizyat,il,,fut,para,caus
ilayizyamAna,il,,fut,atma,
ilayizyamAna,il,,fut,atma,caus
ilitavat,il,,past,active,caus
ilita,il,,past,pass,caus
iltavat,il,,past,active,
ilta,il,,past,pass,
ilyamAna,il,,pres,pass,
ilyamAna,il,,pres,pass,caus
ilya,il,,fut,pass,caus
izaRIya,iz#1,,fut,pass,caus
izayat,iz#1,,pres,para,caus
izayamAna,iz#1,,pres,atma,caus
izayitavya,iz#1,,fut,pass,caus
izayizyat,iz#1,,fut,para,caus
izayizyamAna,iz#1,,fut,atma,
izayizyamAna,iz#1,,fut,atma,caus
izitavat,iz#1,,past,active,caus
izitavat,iz#2,,past,active,
izita,iz#1,,past,pass,caus
izita,iz#2,,past,pass,
izwavat,iz#1,,past,active,
izwavat,yaj#1,,past,active,
izwa,iz#1,,past,pass,
izwa,yaj#1,,past,pass,
izRat,iz#2,9,pres,para,
izRAna,iz#2,9,pres,atma,
izyat,iz#2,4,pres,para,
izyamAna,iz#1,,pres,pass,
izyamAna,iz#1,,pres,pass,caus
izyamAna,iz#2,4,pres,atma,
izyamAna,iz#2,,pres,pass,
izya,iz#1,,fut,pass,caus
Ikzat,Ikz,1,pres,para,
IkzamAna,Ikz,1,pres,atma,
IkzARa,Ikz,,perf,atma,
Ikzitavat,Ikz,,past,active,
Ikzitavya,Ikz,,fut,pass,
Ikzita,Ikz,,past,pass,
IkzivAn,Ikz,,perf,para,
Ikzizyat,Ikz,,fut,para,
IkzizyamAna,Ikz,,fut,atma,
IkzyamAna,Ikz,,pres,pass,
Ikzya,Ikz,,fut,pass,
INKat,INK,1,pres,para,
INKanIya,INK,,fut,pass,caus
INKamAna,INK,1,pres,atma,
INKayat,INK,,pres,para,caus
INKayamAna,INK,,pres,atma,caus
INKayitavya,INK,,fut,pass,caus
INKayizyat,INK,,fut,para,caus
INKayizyamAna,INK,,fut,atma,
INKayizyamAna,INK,,fut,atma,caus
INKAna,INK,,perf,atma,
INKitavat,INK,,past,active,
INKitavat,INK,,past,active,caus
INKita,INK,,past,pass,
INKita,INK,,past,pass,caus
INKivAn,INK,,perf,para,
INKyamAna,INK,,pres,pass,
INKyamAna,INK,,pres,pass,caus
INKya,INK,,fut,pass,
INKya,INK,,fut,pass,caus
IjAna,yaj#1,,perf,atma,
IjivAn,yaj#1,,perf,para,
IqAna,Iq,2,pres,atma,
IqAna,Iq,,perf,atma,
Iqitavat,Iq,,past,active,
Iqitavya,Iq,,fut,pass,
Iqita,Iq,,past,pass,
IqizyamAna,Iq,,fut,atma,
IqyamAna,Iq,,pres,pass,
Iqya,Iq,,fut,pass,
IDAna,inD,,perf,atma,
Ipsat,Ap,,pres,para,desid
IpsanIya,Ap,,fut,pass,desid
Ipsitavat,Ap,,past,active,desid
Ipsita,Ap,,past,pass,desid
IpsivAn,Ap,,perf,para,desid
IyamAna,i,4,pres,atma,
IyamAna,i,,pres,pass,
IyamAna,yA#1,,pres,pass,
IyAna,i,,perf,atma,
IyivAn,i,,perf,para,
IyNgAna,iNg,,perf,atma,
IyNgivAn,iNg,,perf,para,
IynAna,in,,perf,atma,
IynivAn,in,,perf,para,
IyndAna,ind,,perf,atma,
IyndivAn,ind,,perf,para,
IynvAna,inv,,perf,atma,
IynvivAn,inv,,perf,para,
IyrasAna,iras#2,,perf,atma,
IyrasvAn,iras#2,,perf,para,
IylAna,il,,perf,atma,
IylivAn,il,,perf,para,
IraRIya,Ir,,fut,pass,caus
Irayat,Ir,,pres,para,caus
IrayamAna,Ir,,pres,atma,caus
Irayitavya,Ir,,fut,pass,caus
Irayizyat,Ir,,fut,para,caus
IrayizyamAna,Ir,,fut,atma,
IrayizyamAna,Ir,,fut,atma,caus
IrARa,Ir,2,pres,atma,
IrARa,Ir,,perf,atma,
Iritavat,Ir,,past,active,
Iritavat,Ir,,past,active,caus
Iritavya,Ir,,fut,pass,
Irita,Ir,,past,pass,
Irita,Ir,,past,pass,caus
IryamAna,Ir,,pres,pass,
IryamAna,Ir,,pres,pass,caus
Irya,Ir,,fut,pass,
Irya,Ir,,fut,pass,caus
IrzARa,Irz,,perf,atma,
Irzitavat,Irz,,past,active,
Irzita,Irz,,past,pass,
IrzivAn,Irz,,perf,para,
Irzyat,Irz,1,pres,para,
IrzyamAna,Irz,1,pres,atma,
IrzyamAna,Irz,,pres,pass,
Irzya,Irz,,fut,pass,
ISAna,IS#1,2,pres,atma,
ISAna,IS#1,,perf,atma,
ISitavat,IS#1,,past,active,
ISita,IS#1,,past,pass,
ISizyat,IS#1,,fut,para,
ISizyamAna,IS#1,,fut,atma,
Izat,Iz,1,pres,para,
IzamAna,Iz,1,pres,atma,
IzARa,Iz,,perf,atma,
IzARa,iz#1,,perf,atma,
IzARa,iz#2,,perf,atma,
