form,root,pos,modification
kramitvA,kram,gerund,
krAntvA,kram,gerund,
krApayitvA,krI,gerund,caus
krAmayitvA,kram,gerund,caus
krIqayitvA,krIq,gerund,caus
krIqitvA,krIq,gerund,
krItvA,krI,gerund,
kruYcitvA,kruYc#1,gerund,
krudDvA,kruD#1,gerund,
kruzwvA,kruS,gerund,
kroDayitvA,kruD#1,gerund,caus
klantvA,klam,gerund,
klAmayitvA,klam,gerund,caus
klintvA,klid,gerund,
kliSitvA,kliS,gerund,
klizwvA,kliS,gerund,
klIbatvA,klIba,gerund,
klIbAyitvA,klIba,gerund,
kledayitvA,klid,gerund,caus
kleSayitvA,kliS,gerund,caus
kleSitvA,kliS,gerund,
kvaTitvA,kvaT,gerund,
kvATayitvA,kvaT,gerund,caus
kzattvA,kzad,gerund,
kzatvA,kzan,gerund,
kzanitvA,kzan,gerund,
kzapayitvA,kzI,gerund,caus
kzaptvA,kzap,gerund,
kzamayitvA,kzam,gerund,caus
kzamitvA,kzam,gerund,
kzaritvA,kzar,gerund,
kzAntvA,kzam,gerund,
kzAmayitvA,kzam,gerund,caus
kzAlayitvA,kzal,gerund,caus
kziptvA,kzip,gerund,
kzItvA,kzI,gerund,
kzItvA,kzi,gerund,
kzIrasyitvA,kzIra,gerund,
kzuttvA,kzud,gerund,
kzutvA,kzu,gerund,
kzuDitvA,kzuD#1,gerund,
kzubDvA,kzuB,gerund,
kzuBitvA,kzuB,gerund,
kzepayitvA,kzip,gerund,caus
kzoDitvA,kzuD#1,gerund,
kzoBayitvA,kzuB,gerund,caus
kzoBitvA,kzuB,gerund,
kzveqayitvA,kzviq,gerund,caus
kzveqitvA,kzviq,gerund,
KaqayitvA,Kaqa,gerund,
KaRqayitvA,KaRqa,gerund,
KanitvA,Kan,gerund,
KAtvA,Kan,gerund,
KAditvA,KAd,gerund,
KAnayitvA,Kan,gerund,caus
KintvA,Kid,gerund,
KedayitvA,Kid,gerund,caus
KelayitvA,Kel,gerund,caus
KelAyitvA,Kela,gerund,
KeltvA,Kel,gerund,
KyAtvA,KyA,gerund,
KyApayitvA,KyA,gerund,caus
gaktvA,gaj,gerund,
gaRayitvA,gaR,gerund,
gatvA,gam,gerund,
gadayitvA,gad,gerund,caus
gaditvA,gad,gerund,
gadgadyitvA,gadgada,gerund,
gamayitvA,gam,gerund,caus
garjitvA,garj,gerund,
garditvA,gard,gerund,
garDayitvA,gfD,gerund,caus
garDitvA,gfD,gerund,
garvayitvA,garva,gerund,
garvAyitvA,garva,gerund,
garhayitvA,garh,gerund,
garhitvA,garh,gerund,
galitvA,gal,gerund,
galBitvA,galB,gerund,
gavezayitvA,gavez,gerund,
gavezwvA,gavez,gerund,
gavyitvA,go,gerund,
gAQvA,gAh,gerund,
gAlayitvA,gal,gerund,caus
gAhitvA,gAh,gerund,
gItvA,gA#2,gerund,
gIrtvA,gF#1,gerund,
gIrtvA,gF#2,gerund,
guYjitvA,guYj,gerund,
guRWayitvA,guRW,gerund,caus
gupayitvA,gup,gerund,
gumPitvA,gumP,gerund,
gurtvA,gur,gerund,
gUQvA,guh,gerund,
gUhayitvA,guh,gerund,caus
gUhitvA,guh,gerund,
gfdDvA,gfD,gerund,
gfBItvA,grah,gerund,
gfhItvA,grah,gerund,
gopAyitvA,gopA,gerund,
granTitvA,granT,gerund,
grasitvA,gras,gerund,
grastvA,gras,gerund,
grAhayitvA,grah,gerund,caus
glapayitvA,glE,gerund,caus
glAtvA,glE,gerund,
GawayitvA,Gaw,gerund,caus
GawitvA,Gaw,gerund,
GawwayitvA,Gaww,gerund,
GawwitvA,Gaww,gerund,
GarzitvA,Gfz,gerund,
GAwayitvA,Gaw,gerund,caus
GAtayitvA,han#1,gerund,caus
GuzitvA,Guz,gerund,
GuzwvA,Guz,gerund,
GUrRitvA,GUrR,gerund,
GftvA,Gf,gerund,
GfzwvA,Gfz,gerund,
GozayitvA,Guz,gerund,caus
GozitvA,Guz,gerund,
GrAtvA,GrA,gerund,
cakAstvA,cakAs,gerund,
caYcitvA,caYc,gerund,
cawitvA,caw,gerund,
cantvA,cam,gerund,
canditvA,cand,gerund,
capayitvA,ci,gerund,caus
camitvA,cam,gerund,
cayayitvA,ci,gerund,caus
caritvA,car,gerund,
carcayitvA,carca,gerund,
cartvA,car,gerund,
calitvA,cal,gerund,
cazwvA,cakz,gerund,
cAtayitvA,cat,gerund,caus
cApayitvA,ci,gerund,caus
cAyayitvA,ci,gerund,caus
cArayitvA,car,gerund,caus
cAlayitvA,cal,gerund,caus
cikitsitvA,cit#1,gerund,desid
cikIrzitvA,kf#1,gerund,desid
cikIzitvA,ci,gerund,desid
cikrIzitvA,krI,gerund,desid
cicIzitvA,ci,gerund,desid
cittvA,cit#1,gerund,
citrIyitvA,citra,gerund,
citvA,ci,gerund,
cintayitvA,cint,gerund,
cIrtvA,car,gerund,
cukzUzitvA,kzu,gerund,desid
cuditvA,cud,gerund,
cumbitvA,cumb,gerund,
curayitvA,cur,gerund,
cUrRayitvA,cUrRa,gerund,
cUzwvA,cUz,gerund,
cetayitvA,cit#1,gerund,caus
cezwayitvA,cezw,gerund,caus
cezwitvA,cezw,gerund,
codayitvA,cud,gerund,caus
coditvA,cud,gerund,
copayitvA,kup,gerund,caus
cyutvA,cyu,gerund,
CattvA,Cad#1,gerund,
CandayitvA,Cand,gerund,caus
CanditvA,Cand,gerund,
CalayitvA,Cala,gerund,
CAdayitvA,Cad#1,gerund,caus
CittvA,Cid#1,gerund,
CidrayitvA,Cidra,gerund,
CurayitvA,Cur,gerund,caus
CedayitvA,Cid#1,gerund,caus
jagDvA,jakz,gerund,
janayitvA,jan,gerund,caus
jantvA,jam,gerund,
japtvA,jap,gerund,
jabDvA,jaB#1,gerund,
jabDvA,jaB#2,gerund,
jamitvA,jam,gerund,
jarayitvA,jF,gerund,caus
jalAyitvA,jala,gerund,
jalpitvA,jalp,gerund,
jasitvA,jas,gerund,
jastvA,jas,gerund,
jAgarayitvA,jAgf,gerund,caus
jAgaritvA,jAgf,gerund,
jAtvA,jan,gerund,
jApayitvA,ji,gerund,caus
jAsayitvA,jas,gerund,caus
jigadizitvA,gad,gerund,desid
jigamizitvA,gam,gerund,desid
jigIzitvA,ji,gerund,desid
jiGAMsitvA,han#1,gerund,desid
jiGfkzitvA,grah,gerund,desid
jijIvizitvA,jIv,gerund,desid
jijYAsitvA,jYA#1,gerund,desid
jitvA,ji,gerund,
jinvitvA,jinv,gerund,
jihIrzitvA,hf#1,gerund,desid
jItvA,jyA#1,gerund,
jIrtvA,jF,gerund,
jIvitvA,jIv,gerund,
jugupsitvA,gup,gerund,desid
juzwvA,juz#1,gerund,
juhUzitvA,hu,gerund,desid
jUtvA,jU,gerund,
jfmBitvA,jfmB,gerund,
jozayitvA,juz#1,gerund,caus
jYapayitvA,jYA#1,gerund,caus
jYapitvA,jYA#1,gerund,caus
jYAtvA,jYA#1,gerund,
jYApayitvA,jYA#1,gerund,caus
jyuttvA,jyut,gerund,
jyotayitvA,jyut,gerund,caus
jvartvA,jvar,gerund,
jvalayitvA,jval,gerund,caus
jvalitvA,jval,gerund,
qambayitvA,qamb,gerund,
qItvA,qI,gerund,
taktvA,tak,gerund,
taktvA,taYc,gerund,
takzitvA,takz,gerund,
taYcitvA,taYc,gerund,
tatvA,tan#1,gerund,
tanitvA,tan#1,gerund,
tantrayitvA,tantra,gerund,
tantvA,tan#2,gerund,
tantvA,tam,gerund,
tandrayitvA,tandr,gerund,
tapasyitvA,tapas,gerund,
tapitvA,tap,gerund,
taptvA,tap,gerund,
tamitvA,tam,gerund,
taruRayitvA,taruRa,gerund,
taruRAyitvA,taruRa,gerund,
tarkayitvA,tark,gerund,
tarjayitvA,tarj,gerund,caus
tarjitvA,tarj,gerund,
tarpayitvA,tfp#1,gerund,caus
tarzitvA,tfz,gerund,
tavizIyitvA,taviza,gerund,
tazwvA,takz,gerund,
tAqayitvA,taq,gerund,caus
tApayitvA,tap,gerund,caus
tArayitvA,tF,gerund,caus
tiktvA,tij,gerund,
titikzitvA,tij,gerund,desid
titIrzitvA,tF,gerund,desid
tirasyitvA,tiras,gerund,
tIrtvA,tF,gerund,
tuttvA,tud#1,gerund,
tuptvA,tup,gerund,
tulayitvA,tul,gerund,
tuzwUzitvA,stu,gerund,desid
tuzwvA,tuz,gerund,
tuhinayitvA,tuhina,gerund,
tUrtvA,tvar,gerund,
tfttvA,tfd,gerund,
tfptvA,tfp#1,gerund,
tejayitvA,tij,gerund,caus
tozayitvA,tuz,gerund,caus
tyaktvA,tyaj#1,gerund,
tyAjayitvA,tyaj#1,gerund,caus
trapayitvA,trap,gerund,caus
trapitvA,trap,gerund,
traptvA,trap,gerund,
trastvA,tras,gerund,
trAtvA,trE,gerund,
trAsayitvA,tras,gerund,caus
truwitvA,truw,gerund,
trowayitvA,truw,gerund,caus
trowitvA,truw,gerund,
tvakzitvA,tvakz,gerund,
tvarayitvA,tvar,gerund,caus
tvaritvA,tvar,gerund,
tvazwvA,tvakz,gerund,
tvizitvA,tviz#1,gerund,
tvezitvA,tviz#1,gerund,
tsartvA,tsar,gerund,
daMSitvA,daMS,gerund,
dakzitvA,dakz,gerund,
dagDvA,daG,gerund,
dagDvA,dah#1,gerund,
daRqayitvA,daRqa,gerund,
dattvA,dA#1,gerund,
dabDvA,daB,gerund,
damayitvA,dam#1,gerund,caus
damitvA,dam#1,gerund,
dayitvA,day,gerund,
darpayitvA,dfp,gerund,caus
darpitvA,dfp,gerund,
darBayitvA,dfB,gerund,caus
darSayitvA,dfS#1,gerund,caus
dalitvA,dal,gerund,
dasitvA,das,gerund,
dastvA,das,gerund,
dAntvA,dam#1,gerund,
dApayitvA,dA#1,gerund,caus
dArayitvA,dF,gerund,caus
dAvayitvA,du,gerund,caus
dASayitvA,dAS#1,gerund,caus
dAzwvA,dAS#1,gerund,
dAsayitvA,das,gerund,caus
dAhayitvA,dah#1,gerund,caus
digDvA,dih,gerund,
ditvA,dA#2,gerund,
ditsitvA,dA#1,gerund,desid
didikzitvA,diS#1,gerund,desid
didfkzitvA,dfS#1,gerund,desid
diDizitvA,DA#1,gerund,desid
diDyAsitvA,DyA,gerund,desid
dizwvA,diS#1,gerund,
dIkzayitvA,dIkz,gerund,caus
dIkzitvA,dIkz,gerund,
dItvA,dA#3,gerund,
dIpayitvA,dIp,gerund,caus
dIptvA,dIp,gerund,
dIrtvA,dF,gerund,
dIvitvA,dIv#1,gerund,
duHKyitvA,duHKa,gerund,
dugDvA,duh#1,gerund,
dutvA,du,gerund,
dudUzitvA,du,gerund,desid
dudrUzitvA,dru#1,gerund,desid
duDukzitvA,duh#1,gerund,desid
durdinAyitvA,durdina,gerund,
duzwvA,duz,gerund,
dUzayitvA,duz,gerund,caus
dfQvA,dfh,gerund,
dfptvA,dfp,gerund,
dfbDvA,dfB,gerund,
dfzwvA,dfS#1,gerund,
devayitvA,deva,gerund,
devayitvA,dev,gerund,caus
devayitvA,dIv#1,gerund,caus
devtvA,dev,gerund,
deSayitvA,diS#1,gerund,caus
dehayitvA,dih,gerund,caus
dolayitvA,dola,gerund,
dohayitvA,duh#1,gerund,caus
dyutitvA,dyut#1,gerund,
dyuttvA,dyut#1,gerund,
dyUtvA,dIv#1,gerund,
dyotayitvA,dyut#1,gerund,caus
dyotitvA,dyut#1,gerund,
drAtvA,drA#1,gerund,
drAtvA,drA#2,gerund,
drApayitvA,drA#1,gerund,caus
drArayitvA,druh#1,gerund,caus
drAvayitvA,dru#1,gerund,caus
drugDvA,druh#1,gerund,
drutvA,dru#1,gerund,
druhitvA,druh#1,gerund,
drUQvA,druh#1,gerund,
drohitvA,druh#1,gerund,
dvizwvA,dviz#1,gerund,
DanAyitvA,Dana,gerund,
DanIyitvA,Dana,gerund,
DarzayitvA,Dfz,gerund,caus
DarzitvA,Dfz,gerund,
DApayitvA,DA#1,gerund,caus
DArayitvA,Df,gerund,caus
DAvitvA,DAv#1,gerund,
DAvtvA,DAv#1,gerund,
DitvA,DA#1,gerund,
DitsitvA,DA#1,gerund,desid
DItvA,DI#1,gerund,
DItvA,DA#2,gerund,
DIrayitvA,DIra#1,gerund,
DukzayitvA,Dukz,gerund,caus
DukzitvA,Dukz,gerund,
DutvA,DU#1,gerund,
DUtvA,DU#1,gerund,
DUmAyitvA,DUma,gerund,
DUrtvA,Dvf,gerund,
DftvA,Df,gerund,
DOtvA,DAv#2,gerund,
DmAtvA,Dam,gerund,
DyAtvA,DyA,gerund,
DrutvA,Dru,gerund,
DvaMsayitvA,DvaMs,gerund,caus
DvaMsitvA,DvaMs,gerund,
DvanayitvA,Dvan,gerund,caus
DvanitvA,Dvan,gerund,
DvastvA,DvaMs,gerund,
DvANkzitvA,DvANkz,gerund,
DvArayitvA,Dvf,gerund,caus
natvA,nam,gerund,
nadayitvA,nad,gerund,caus
naditvA,nad,gerund,
nadDvA,nah,gerund,
nandayitvA,nand,gerund,caus
nanditvA,nand,gerund,
namasyitvA,namas,gerund,
nartayitvA,nft,gerund,caus
narditvA,nard,gerund,
naSitvA,naS#1,gerund,
nazwvA,naS#1,gerund,
nAtTvA,nAT,gerund,
nAdayitvA,nad,gerund,caus
nAmayitvA,nam,gerund,caus
nAyayitvA,nI#1,gerund,caus
nAvyitvA,nO#1,gerund,
nASayitvA,naS#1,gerund,caus
nikazAyitvA,nikaza,gerund,
niktvA,nij,gerund,
ninadizitvA,nad,gerund,desid
ninartizitvA,nft,gerund,desid
ninIzitvA,nI#1,gerund,desid
ninftsitvA,nft,gerund,desid
ninditvA,nind,gerund,
nItvA,nI#1,gerund,
nIhArAyitvA,nIhAra,gerund,
nuttvA,nud,gerund,
nutvA,nu#1,gerund,
nfttvA,nft,gerund,
nejayitvA,nij,gerund,caus
nenikzitvA,nij,gerund,desid
nodayitvA,nud,gerund,caus
paktvA,pac,gerund,
pawapawAyitvA,pawapawA,gerund,
pawwvA,paw,gerund,
paWitvA,paW,gerund,
paRayitvA,paR,gerund,caus
paRitvA,paR,gerund,
patitvA,pat#1,gerund,
pattvA,pat#2,gerund,
pattvA,pad#1,gerund,
patTvA,paT,gerund,
payasyitvA,payas,gerund,
payAyitvA,payas,gerund,
parzitvA,pfz,gerund,
palAyitvA,palAy,gerund,
pavitrayitvA,pavitra,gerund,
pAcayitvA,pac,gerund,caus
pAwayitvA,paw,gerund,caus
pAWayitvA,paW,gerund,caus
pAtayitvA,pat#1,gerund,caus
pATayitvA,paT,gerund,caus
pAdayitvA,pad#1,gerund,caus
pAyayitvA,pA#1,gerund,caus
pArayitvA,pf#1,gerund,caus
pArayitvA,pF,gerund,caus
pAlayitvA,pA#2,gerund,caus
pASayitvA,pASa,gerund,
piYjitvA,piYj,gerund,
piRqayitvA,piRqa,gerund,
pipakzitvA,pac,gerund,desid
pipaWizitvA,paW,gerund,desid
pipatizitvA,pat#1,gerund,desid
pipAsitvA,pA#1,gerund,desid
pipAsitvA,pA#2,gerund,desid
piprIzitvA,prI,gerund,desid
pizwvA,piz,gerund,
pizwvA,piS#1,gerund,
pIqayitvA,pIq,gerund,
pItvA,pA#1,gerund,
pItvA,pA#2,gerund,
pItvA,pi#2,gerund,
pIyUzavarzAyitvA,pIyUzavarza,gerund,
putTvA,puT,gerund,
putrakAmyitvA,putrakAma,gerund,
putriyitvA,putra,gerund,
putrIyitvA,putra,gerund,
pupUrzitvA,pF,gerund,desid
pulakayitvA,pulaka,gerund,
puzkarAyitvA,puzkara,gerund,
puzwvA,puz#1,gerund,
puzpAyitvA,puzpa,gerund,
puzpyitvA,puzpa,gerund,
pUjayitvA,pUj,gerund,
pUtvA,pUy,gerund,
pUtvA,pU#1,gerund,
pUrayitvA,pF,gerund,caus
pUrtvA,pF,gerund,
pUlatvA,pUla,gerund,
pUlayitvA,pUla,gerund,
pfktvA,pfc,gerund,
pfTayitvA,pfT,gerund,
pfzwvA,pfz,gerund,
pfzwvA,praS,gerund,
poTayitvA,puT,gerund,caus
pozayitvA,puz#1,gerund,caus
pyAtvA,pyA,gerund,
pracCayitvA,praS,gerund,caus
pratikUlayitvA,pratikUla,gerund,
praTayitvA,praT,gerund,caus
praTitvA,praT,gerund,
prasAdayitvA,prasAda,gerund,
prAvayitvA,pru,gerund,caus
prAsAdIyitvA,prAsAda,gerund,
pritvA,pf#1,gerund,
priyAyitvA,priya,gerund,
prIRayitvA,prI,gerund,caus
prItvA,prI,gerund,
prUtvA,pru,gerund,
plAvayitvA,plu,gerund,caus
plutvA,plu,gerund,
pluzwvA,pluz,gerund,
PalitvA,Pal,gerund,
PullitvA,Pull,gerund,
PenAyitvA,Pena,gerund,
baMhayitvA,baMh,gerund,caus
banDayitvA,banD,gerund,caus
banDitvA,banD,gerund,
barhitvA,bfh#2,gerund,
bahitvA,baMh,gerund,
bADayitvA,bAD,gerund,caus
bADitvA,bAD,gerund,
bAzpAyitvA,bAzpa,gerund,
bIBatsitvA,bAD,gerund,desid
budDvA,buD#1,gerund,
buBukzitvA,Buj#2,gerund,desid
buButsitvA,buD#1,gerund,desid
buBUzitvA,BU#1,gerund,desid
buBodizitvA,buD#1,gerund,desid
buBoDizitvA,buD#1,gerund,desid
bfMhayitvA,bfh#1,gerund,caus
bfQvA,bfh#1,gerund,
bfQvA,bfh#2,gerund,
boDayitvA,buD#1,gerund,caus
BaktvA,Baj,gerund,
BaktvA,BaYj,gerund,
BakzayitvA,Bakz,gerund,caus
BakzitvA,Bakz,gerund,
BaYjayitvA,BaYj,gerund,caus
BaRitvA,BaR,gerund,
BaRqitvA,BaRq,gerund,
BanditvA,Band,gerund,
BartsayitvA,Barts,gerund,
BazwvA,Baz,gerund,
BasitvA,Bas,gerund,
BAtvA,BA#1,gerund,
BAyayitvA,BI#1,gerund,caus
BArayitvA,Bf,gerund,caus
BAvayitvA,BU#1,gerund,caus
BAzitvA,BAz,gerund,
BAsayitvA,BAs#1,gerund,caus
BAsitvA,BAs#1,gerund,
BikzitvA,Baj,gerund,desid
BittvA,Bid#1,gerund,
BizajyitvA,Bizaj,gerund,
BItvA,BI#1,gerund,
BIzayitvA,BI#1,gerund,caus
BuktvA,Buj#1,gerund,
BuktvA,Buj#2,gerund,
BuYjApayitvA,Buj#2,gerund,caus
BUtvA,BU#1,gerund,
BUzayitvA,BUz,gerund,caus
BUzitvA,BUz,gerund,
BftvA,Bf,gerund,
BfSAyitvA,BfSa,gerund,
BfzwvA,Bfjj,gerund,
BedayitvA,Bid#1,gerund,caus
BojayitvA,Buj#2,gerund,caus
BraMSayitvA,BraMS,gerund,caus
BraMSitvA,BraMS,gerund,
BramitvA,Bram,gerund,
BrazwvA,BraMS,gerund,
BrAjayitvA,BrAj,gerund,caus
BrAjitvA,BrAj,gerund,
BrAntvA,Bram,gerund,
BrAmayitvA,Bram,gerund,caus
maMhayitvA,maMh,gerund,caus
maktvA,majj,gerund,
majjayitvA,majj,gerund,caus
maRqayitvA,maRq,gerund,caus
maRqitvA,maRq,gerund,
mattvA,mad#1,gerund,
matvA,man,gerund,
maTitvA,manT,gerund,
madayitvA,mad#1,gerund,caus
maDusyitvA,maDu,gerund,
maDvasyitvA,maDu,gerund,
mantUyitvA,mantu,gerund,
mantrayitvA,mantra,gerund,
mandayitvA,mand#1,gerund,caus
manditvA,mand#1,gerund,
mardayitvA,mfd#1,gerund,caus
marDitvA,mfD,gerund,
marSayitvA,mfS,gerund,caus
marzayitvA,mfz,gerund,caus
malinayitvA,malina,gerund,
mahayitvA,mah,gerund,caus
mahitvA,mah,gerund,
mahitvA,maMh,gerund,
mahIyitvA,mahI#2,gerund,
mAMsIyitvA,mAMsa,gerund,
mAtvA,man,gerund,
mAdayitvA,mad#1,gerund,caus
mAnayitvA,man,gerund,caus
mApayitvA,mA#1,gerund,caus
mArayitvA,mf,gerund,caus
mArgayitvA,mArg,gerund,
mArjayitvA,mfj,gerund,caus
mArjitvA,mfj,gerund,
mAlayitvA,mAlA,gerund,
mAlyaguRAyitvA,mAlyaguRa,gerund,
mitTvA,miT,gerund,
mitvA,mi,gerund,
mitvA,mA#1,gerund,
militvA,mil,gerund,
miSrayitvA,miSra,gerund,
mizitvA,miz,gerund,
mizwvA,miz,gerund,
mIQvA,mih,gerund,
mItvA,mI,gerund,
mItvA,mA#3,gerund,
mItvA,mA#4,gerund,
mImAMsitvA,man,gerund,desid
mIlayitvA,mIl,gerund,caus
mIlitvA,mIl,gerund,
mukulayitvA,mukula,gerund,
muktvA,muc#1,gerund,
muKarayitvA,muKara,gerund,
mugDvA,muh,gerund,
muRqayitvA,muRqa,gerund,
muditvA,mud#1,gerund,
mudrayitvA,mudrA,gerund,
mumukzitvA,muc#1,gerund,desid
mumUrzitvA,mf,gerund,desid
muzitvA,muz#1,gerund,
muhitvA,muh,gerund,
mUQvA,muh,gerund,
mUtrayitvA,mUtra,gerund,
mUrcCitvA,mUrcC,gerund,
mUrCayitvA,mUrC,gerund,caus
mUrCitvA,mUrC,gerund,
mfgayitvA,mfga,gerund,
mfwwvA,mfq,gerund,
mfqayitvA,mfq,gerund,
mfttvA,mfd#1,gerund,
mftvA,mf,gerund,
mfdDvA,mfD,gerund,
mfzAyitvA,mfzA,gerund,
mfzwvA,mfz,gerund,
mfzwvA,mfj,gerund,
mfzwvA,mfS,gerund,
meGAyitvA,meGa,gerund,
meDayitvA,meDA,gerund,
melApayitvA,mil,gerund,caus
melitvA,mil,gerund,
mezitvA,miz,gerund,
